	sentence	named_entity	rank
0	Sport in this country has come a long way since hilarity was the loudest response to the idea of a London Olympic bid.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 99, ""end"": 105, ""cms"": null}]"	250
1	In those early days, people imagined one long fiasco of missed deadlines and signal failures on the tube.	"[{""text"": ""those early days"", ""type"": ""DATE"", ""start"": 3, ""end"": 19, ""cms"": null}, {""text"": ""one"", ""type"": ""CARDINAL"", ""start"": 37, ""end"": 40, ""cms"": null}]"	250
2	The Games would suffer death by committee, death by engineering works.	"[{""text"": ""Games"", ""type"": ""EVENT"", ""start"": 4, ""end"": 9, ""cms"": null}]"	250
3	"Non-believers cried: "" Look at the Dome, look at Wembley, look at us! """	"[{""text"": ""Dome"", ""type"": ""FAC"", ""start"": 35, ""end"": 39, ""cms"": null}, {""text"": ""Wembley"", ""type"": ""FAC"", ""start"": 49, ""end"": 56, ""cms"": null}]"	250
4	Were the British not the gold medallists in chaos?	"[{""text"": ""British"", ""type"": ""NORP"", ""start"": 9, ""end"": 16, ""cms"": null}]"	250
5	 	[]	250
6	This black comedy of self-deprecation had its uses.	[]	250
7	It gave London a reason to look into the cracked mirror of the Thames.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 8, ""end"": 14, ""cms"": null}, {""text"": ""Thames"", ""type"": ""LOC"", ""start"": 63, ""end"": 69, ""cms"": null}]"	250
8	Like America these past 25 years, Britain has tended to put private consumption before public investment.	"[{""text"": ""America"", ""type"": ""GPE"", ""start"": 5, ""end"": 12, ""cms"": null}, {""text"": ""these past 25 years"", ""type"": ""DATE"", ""start"": 13, ""end"": 32, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 34, ""end"": 41, ""cms"": null}]"	250
9	This has turned us into a nation which drinks caffe lattes and eats rocket salads but can't get to work on time because of the trains.	[]	250
10	Health, education, transport: these are the three great anxieties of modern British life.	"[{""text"": ""three"", ""type"": ""CARDINAL"", ""start"": 44, ""end"": 49, ""cms"": null}, {""text"": ""British"", ""type"": ""NORP"", ""start"": 76, ""end"": 83, ""cms"": null}]"	250
