	sentence	named_entity	rank
0	"Olympic promise of free swimming lessons by 2012



"	"[{""text"": ""Olympic"", ""type"": ""NORP"", ""start"": 0, ""end"": 7, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 44, ""end"": 48, ""cms"": null}]"	122
1	Swimming sessions at council-run pools will be free by 2012 under the Government's Olympics legacy plan to be unveiled today.	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 55, ""end"": 59, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 83, ""end"": 91, ""cms"": null}, {""text"": ""today"", ""type"": ""DATE"", ""start"": 119, ""end"": 124, ""cms"": null}]"	122
2	"



"	[]	122
3	The move is the central part of a drive to end the 'couch potato culture' and get two million more people active by the time of the London Games.	"[{""text"": ""two million"", ""type"": ""CARDINAL"", ""start"": 82, ""end"": 93, ""cms"": null}, {""text"": ""the London Games"", ""type"": ""EVENT"", ""start"": 128, ""end"": 144, ""cms"": null}]"	122
4	"



"	[]	122
5	Organisers promised to deliver a lasting foundation for sport as part of their winning pitch to the International Olympic Committee in 2005.	"[{""text"": ""the International Olympic Committee"", ""type"": ""ORG"", ""start"": 96, ""end"": 131, ""cms"": null}, {""text"": ""2005"", ""type"": ""DATE"", ""start"": 135, ""end"": 139, ""cms"": null}]"	122
6	"



"	[]	122
7	"Council-run swimming pools will be free by 2012 under a Government plan to get more people to exercise

"	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 43, ""end"": 47, ""cms"": null}]"	122
8	Gordon Brown will today lead ministers in outlining precisely how Britain will benefit by spending £9.3billion hosting the athletics showpiece.	"[{""text"": ""Gordon Brown"", ""type"": ""PERSON"", ""start"": 0, ""end"": 12, ""cms"": null}, {""text"": ""today"", ""type"": ""DATE"", ""start"": 18, ""end"": 23, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 66, ""end"": 73, ""cms"": null}, {""text"": ""\u00a39.3billion"", ""type"": ""MONEY"", ""start"": 99, ""end"": 110, ""cms"": null}]"	122
9	"



"	[]	122
10	However, critics last night claimed that valuable time had been wasted because the plan had taken too long to put together.	"[{""text"": ""last night"", ""type"": ""TIME"", ""start"": 17, ""end"": 27, ""cms"": null}]"	122
11	"



"	[]	122
12	It came as 2012 chiefs revealed that the design of the Olympic Park in Stratford, East London, had been 'tweaked' to ensure all the venues will be widely available for use after the Games.	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 11, ""end"": 15, ""cms"": null}, {""text"": ""the Olympic Park"", ""type"": ""FAC"", ""start"": 51, ""end"": 67, ""cms"": null}, {""text"": ""Stratford"", ""type"": ""GPE"", ""start"": 71, ""end"": 80, ""cms"": null}, {""text"": ""East London"", ""type"": ""GPE"", ""start"": 82, ""end"": 93, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 182, ""end"": 187, ""cms"": null}]"	122
13	"



"	[]	122
14	Since 1997, almost £250million has been invested in swimming and more pools have opened than have closed, Culture Secretary Andy Burnham said.	"[{""text"": ""1997"", ""type"": ""DATE"", ""start"": 6, ""end"": 10, ""cms"": null}, {""text"": ""almost \u00a3250million"", ""type"": ""MONEY"", ""start"": 12, ""end"": 30, ""cms"": null}, {""text"": ""Culture"", ""type"": ""ORG"", ""start"": 106, ""end"": 113, ""cms"": null}, {""text"": ""Andy Burnham"", ""type"": ""PERSON"", ""start"": 124, ""end"": 136, ""cms"": null}]"	122
15	"



"	[]	122
16	'Offering free swimming is just the kind of imaginative action required to make us a more active nation by 2012,' he added.	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 107, ""end"": 111, ""cms"": null}]"	122
17	"



"	[]	122
18	'Swimming's appeal is universal.	[]	122
19	It is the perfect antidote to the couch potato culture.	[]	122
20	"



"	[]	122
21	'The pools are there, now we need to make sure they are world-class facilities and that people use them.'	[]	122
22	"



"	[]	122
23	Initially, it is hoped that local authorities will use a £130million fund to provide free sessions to all those aged under 16 or over 60.	"[{""text"": ""\u00a3130million fund"", ""type"": ""MONEY"", ""start"": 57, ""end"": 73, ""cms"": null}, {""text"": ""under 16"", ""type"": ""DATE"", ""start"": 117, ""end"": 125, ""cms"": null}, {""text"": ""over 60"", ""type"": ""DATE"", ""start"": 129, ""end"": 136, ""cms"": null}]"	122
24	"



"	[]	122
25	The hope is that all age groups will eventually benefit, but the final decision will rest with councils.	[]	122
26	"



"	[]	122
27	'My ambition is that by 2012 as many areas as possible open their public pools for free,' said Mr Burnham.	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 24, ""end"": 28, ""cms"": null}, {""text"": ""Burnham"", ""type"": ""PERSON"", ""start"": 98, ""end"": 105, ""cms"": null}]"	122
28	"



'This is the first step on that journey."	"[{""text"": ""first"", ""type"": ""ORDINAL"", ""start"": 17, ""end"": 22, ""cms"": null}]"	122
29	What a fantastic Olympic legacy that would leave.'	"[{""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 17, ""end"": 24, ""cms"": null}]"	122
30	"



"	[]	122
31	"The Prime Minister called for a 'revolution in our sporting culture' to promote the 'engagement of the whole country in sport'.



"	[]	122
32	But Don Foster, the Liberal Democrats' culture, media and sport spokesman, predicted that the Government would fail to meet its target for getting two million more adults into sport by 2012.	"[{""text"": ""Don Foster"", ""type"": ""PERSON"", ""start"": 4, ""end"": 14, ""cms"": null}, {""text"": ""the Liberal Democrats'"", ""type"": ""ORG"", ""start"": 16, ""end"": 38, ""cms"": null}, {""text"": ""two million"", ""type"": ""CARDINAL"", ""start"": 147, ""end"": 158, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 185, ""end"": 189, ""cms"": null}]"	122
33	"



"	[]	122
34	'We've lost an incredible amount of time waiting for these plans,' he said.	[]	122
35	"



"	[]	122
36	The IOC yesterday approved the relocation of the fencing, handball, basketball and cycling events.	"[{""text"": ""IOC"", ""type"": ""ORG"", ""start"": 4, ""end"": 7, ""cms"": null}, {""text"": ""yesterday"", ""type"": ""DATE"", ""start"": 8, ""end"": 17, ""cms"": null}]"	122
37	"



"	[]	122
38	The changes are intended to avoid creating expensive 'white elephants' which are left padlocked and decaying after 2012.	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 115, ""end"": 119, ""cms"": null}]"	122
39	"



"	[]	122
40	There is increasing concern over the cost of the Olympics, which has surged from £3.4billion to £9.3billion, amid fears that a £2.7billion emergency fund is being rapidly eaten into.	"[{""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 49, ""end"": 57, ""cms"": null}, {""text"": ""3.4billion"", ""type"": ""MONEY"", ""start"": 82, ""end"": 92, ""cms"": null}, {""text"": ""9.3billion"", ""type"": ""MONEY"", ""start"": 97, ""end"": 107, ""cms"": null}, {""text"": ""2.7billion"", ""type"": ""MONEY"", ""start"": 128, ""end"": 138, ""cms"": null}]"	122
41	"



"	[]	122
42	But organisers denied that the changes to venues were made on cost grounds.	[]	122
43	"



"	[]	122
44	'We only want to build what can be used to maximum effect after the Games,' said Sebastian Coe, chairman of the London 2012 organising committee.	"[{""text"": ""Games"", ""type"": ""EVENT"", ""start"": 68, ""end"": 73, ""cms"": null}, {""text"": ""Sebastian Coe"", ""type"": ""PERSON"", ""start"": 81, ""end"": 94, ""cms"": null}, {""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 112, ""end"": 123, ""cms"": null}]"	122
45	"



The legacy action plan will also see a shake-up of the way funding is distributed to sports in Britain."	"[{""text"": ""Britain"", ""type"": ""GPE"", ""start"": 99, ""end"": 106, ""cms"": null}]"	122
46	"



"	[]	122
47	Cuts to red tape will save £20million over the next three years which will be diverted to tackling the post-16 drop-off in participation as youngsters leave school.	"[{""text"": ""20million"", ""type"": ""MONEY"", ""start"": 28, ""end"": 37, ""cms"": null}, {""text"": ""the next three years"", ""type"": ""DATE"", ""start"": 43, ""end"": 63, ""cms"": null}, {""text"": ""post-16"", ""type"": ""DATE"", ""start"": 103, ""end"": 110, ""cms"": null}]"	122
48	Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'	"[{""text"": ""Athens"", ""type"": ""GPE"", ""start"": 70, ""end"": 76, ""cms"": null}, {""text"": ""\u00a39billion Olympic 'glory"", ""type"": ""MONEY"", ""start"": 78, ""end"": 102, ""cms"": null}]"	57
49	"



"	[]	57
50	The security guards were furious.	[]	57
51	"



"	[]	57
52	Rushing out from under the shade of an olive tree - one of the few natural things remaining in an urban wasteland surrounded by steel fences topped with razor wire - the two uniformed guards made it clear that attempts to glimpse Helliniko, one of Greece's Olympic 'glories', were strictly forbidden.	"[{""text"": ""one"", ""type"": ""CARDINAL"", ""start"": 52, ""end"": 55, ""cms"": null}, {""text"": ""two"", ""type"": ""CARDINAL"", ""start"": 170, ""end"": 173, ""cms"": null}, {""text"": ""Helliniko"", ""type"": ""GPE"", ""start"": 230, ""end"": 239, ""cms"": null}, {""text"": ""one"", ""type"": ""CARDINAL"", ""start"": 241, ""end"": 244, ""cms"": null}, {""text"": ""Greece"", ""type"": ""GPE"", ""start"": 248, ""end"": 254, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 257, ""end"": 264, ""cms"": null}]"	57
53	"

'You are not allowed here!' one guard barked, as a car crammed with more security men, summoned by radio, screeched to a halt in front of me."	"[{""text"": ""one"", ""type"": ""CARDINAL"", ""start"": 30, ""end"": 33, ""cms"": null}]"	57
54	"

'These Olympics are closed."	"[{""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 9, ""end"": 17, ""cms"": null}]"	57
55	For ever!	[]	57
56	"

'Olympic glories':"	"[{""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 3, ""end"": 10, ""cms"": null}]"	57
57	"Gipsies now live in a tent in front of the beach volley venue at the Faliron complex in Athens



"	"[{""text"": ""Gipsies"", ""type"": ""NORP"", ""start"": 0, ""end"": 7, ""cms"": null}, {""text"": ""Faliron"", ""type"": ""FAC"", ""start"": 69, ""end"": 76, ""cms"": null}, {""text"": ""Athens"", ""type"": ""GPE"", ""start"": 88, ""end"": 94, ""cms"": null}]"	57
58	'You must not stay here.	[]	57
59	Go!	[]	57
60	Now!	[]	57
61	It's illegal!	[]	57
62	'Everything here is illegal!'	[]	57
63	"

'Criminal' might be a better word."	[]	57
64	"



Forlorn: This once proud pool is now dry



"	[]	57
65	Four years after an outpouring of national delight, when the Olympic Games returned to their spiritual home in the shadow of the Acropolis, the security men were trying to hide evidence of the most scandalous abuse of public money in Olympic history.	"[{""text"": ""Four years"", ""type"": ""DATE"", ""start"": 0, ""end"": 10, ""cms"": null}, {""text"": ""the Olympic Games"", ""type"": ""EVENT"", ""start"": 57, ""end"": 74, ""cms"": null}, {""text"": ""Acropolis"", ""type"": ""FAC"", ""start"": 129, ""end"": 138, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""ORG"", ""start"": 234, ""end"": 241, ""cms"": null}]"	57
66	"



"	[]	57
67	After the guards had gone, I ducked through a gap in the venue's fence.	[]	57
68	"

The reason for their agitation became painfully clear."	[]	57
69	"

If waste was an Olympic sport, Greece should be world champions."	"[{""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 18, ""end"": 25, ""cms"": null}, {""text"": ""Greece"", ""type"": ""GPE"", ""start"": 33, ""end"": 39, ""cms"": null}]"	57
70	"

"	[]	57
71	Inside, beneath rusting floodlights, lay devastation - formerly glorious Olympic stadiums were now derelict, covered in graffiti.	"[{""text"": ""Olympic"", ""type"": ""ORG"", ""start"": 73, ""end"": 80, ""cms"": null}]"	57
72	"

This is where more than £9 billion was spent to bring the 2004 Games 'home'."	"[{""text"": ""more than \u00a39 billion"", ""type"": ""MONEY"", ""start"": 16, ""end"": 36, ""cms"": null}, {""text"": ""2004"", ""type"": ""DATE"", ""start"": 60, ""end"": 64, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 65, ""end"": 70, ""cms"": null}]"	57
73	"



"	[]	57
74	I picked my way through the detritus - empty beer cans, food wrappers and other rubbish.	[]	57
75	"

In 2004, the sound of thousands of cheering fans from around the world filled the huge space."	"[{""text"": ""2004"", ""type"": ""DATE"", ""start"": 5, ""end"": 9, ""cms"": null}, {""text"": ""thousands"", ""type"": ""CARDINAL"", ""start"": 24, ""end"": 33, ""cms"": null}]"	57
76	"

Now there's an eerie silence, broken only by the sound of tattered EU flags flapping in the wind."	"[{""text"": ""EU"", ""type"": ""ORG"", ""start"": 69, ""end"": 71, ""cms"": null}]"	57
77	"

It was not supposed to be like this."	[]	57
78	The benefits of the Athens Olympics were meant to last for generations.	"[{""text"": ""the Athens Olympics"", ""type"": ""EVENT"", ""start"": 16, ""end"": 35, ""cms"": null}, {""text"": ""generations"", ""type"": ""DATE"", ""start"": 59, ""end"": 70, ""cms"": null}]"	57
79	"

The Olympic 'legacy' - the favourite buzzword of London's Olympic planners - was meant to be visible to all, transforming the chaotic Greek capital as if Apollo, the god of harmony and civilisation, had smiled on it."	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 51, ""end"": 57, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 60, ""end"": 67, ""cms"": null}, {""text"": ""Greek"", ""type"": ""NORP"", ""start"": 136, ""end"": 141, ""cms"": null}, {""text"": ""Apollo"", ""type"": ""PERSON"", ""start"": 156, ""end"": 162, ""cms"": null}]"	57
80	"

That has not happened."	[]	57
81	"

Derelict"	[]	57
82	": Graffiti covers a stadium at the Faliron site



"	"[{""text"": ""Faliron"", ""type"": ""ORG"", ""start"": 35, ""end"": 42, ""cms"": null}]"	57
83	A staggering 21 out of 22 venues lie abandoned since an event lasting just three weeks was held, and the magnificent stadiums are now over-run with rubbish and weeds.	"[{""text"": ""21"", ""type"": ""CARDINAL"", ""start"": 13, ""end"": 15, ""cms"": null}, {""text"": ""22"", ""type"": ""CARDINAL"", ""start"": 23, ""end"": 25, ""cms"": null}, {""text"": ""just three weeks"", ""type"": ""DATE"", ""start"": 70, ""end"": 86, ""cms"": null}]"	57
84	"

But the most striking 'legacy' has been the huge sums spent - and wasted - on venues to hold sports with little following in Greece."	"[{""text"": ""Greece"", ""type"": ""GPE"", ""start"": 127, ""end"": 133, ""cms"": null}]"	57
85	"

And yet the madness does not end there"	[]	57
86	: annual 'maintenance' of the empty sites has cost almost £500million since the event.	"[{""text"": ""annual"", ""type"": ""DATE"", ""start"": 2, ""end"": 8, ""cms"": null}, {""text"": ""almost \u00a3500million"", ""type"": ""MONEY"", ""start"": 51, ""end"": 69, ""cms"": null}]"	57
87	"

Four years on, the Greek authorities unconvincingly insist they are still involved in 'active negotiations' to find buyers."	"[{""text"": ""Four years on"", ""type"": ""DATE"", ""start"": 2, ""end"": 15, ""cms"": null}, {""text"": ""Greek"", ""type"": ""NORP"", ""start"": 21, ""end"": 26, ""cms"": null}]"	57
88	"

For planners of the London 2012 Olympics, it is a cautionary tale."	"[{""text"": ""the London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 18, ""end"": 42, ""cms"": null}]"	57
89	The fear is that London may repeat the mistakes of Athens.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 17, ""end"": 23, ""cms"": null}, {""text"": ""Athens"", ""type"": ""GPE"", ""start"": 51, ""end"": 57, ""cms"": null}]"	57
90	"

When the British capital was awarded the Games in 2005, we were promised they would regenerate the East End, one of the country's most economically-deprived areas."	"[{""text"": ""British"", ""type"": ""NORP"", ""start"": 11, ""end"": 18, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 43, ""end"": 48, ""cms"": null}, {""text"": ""2005"", ""type"": ""DATE"", ""start"": 52, ""end"": 56, ""cms"": null}, {""text"": ""the East End"", ""type"": ""LOC"", ""start"": 97, ""end"": 109, ""cms"": null}, {""text"": ""one"", ""type"": ""CARDINAL"", ""start"": 111, ""end"": 114, ""cms"": null}]"	57
91	"

But as the projected cost of the London Olympics spirals out of control, these vows are looking decidedly hollow."	"[{""text"": ""the London Olympics"", ""type"": ""EVENT"", ""start"": 31, ""end"": 50, ""cms"": null}]"	57
92	"

Many experts now claim the only beneficiary of 2012 will be big business."	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 49, ""end"": 53, ""cms"": null}]"	57
93	"

Meanwhile, they argue, the area's poorer communities, whose opinions have largely been ignored, will be trampled upon and left with little more than deserted, rubbish-strewn stadiums."	[]	57
94	"

Unless urgent action is taken to return the focus to the people the Games are supposed to help long-term, London could be faced with its own Greek tragedy."	"[{""text"": ""Games"", ""type"": ""EVENT"", ""start"": 70, ""end"": 75, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 108, ""end"": 114, ""cms"": null}, {""text"": ""Greek"", ""type"": ""NORP"", ""start"": 143, ""end"": 148, ""cms"": null}]"	57
95	"

Abandoned: The walkway to the main Heliniko Olympic complex is choked with rubbish four years after it hosted the games



"	"[{""text"": ""Heliniko Olympic complex"", ""type"": ""FAC"", ""start"": 37, ""end"": 61, ""cms"": null}, {""text"": ""four years"", ""type"": ""DATE"", ""start"": 85, ""end"": 95, ""cms"": null}]"	57
96	Back in Athens, the scene at Helliniko, on the outskirts, is all that remains of a clumsy desire to spur interest in obscure sports such as kayaking, handball and baseball among football-mad Greeks.	"[{""text"": ""Athens"", ""type"": ""GPE"", ""start"": 8, ""end"": 14, ""cms"": null}, {""text"": ""Helliniko"", ""type"": ""GPE"", ""start"": 29, ""end"": 38, ""cms"": null}, {""text"": ""Greeks"", ""type"": ""NORP"", ""start"": 191, ""end"": 197, ""cms"": null}]"	57
97	"

None took off - even when officials tried to generate interest by using the baseball stadium for football."	[]	57
98	"

They soon discovered the triangular pitches of the American sport were not suited to a game played on rectangular grass fields."	"[{""text"": ""American"", ""type"": ""NORP"", ""start"": 53, ""end"": 61, ""cms"": null}]"	57
99	"

After trying to encourage locals to use the facilities, the Athens authorities appear to have given up."	"[{""text"": ""Athens"", ""type"": ""GPE"", ""start"": 62, ""end"": 68, ""cms"": null}]"	57
100	"

A once stunning bridge across the motorway to take thousands from the yachting complex to the baseball stadium,"	"[{""text"": ""thousands"", ""type"": ""CARDINAL"", ""start"": 53, ""end"": 62, ""cms"": null}]"	57
101	has been closed, the stairs piled high with waste concrete from nearby building sites.	[]	57
102	"

Spiralling walkways, constructed to allow wheelchair users to travel between venues, are barricaded, their lights smashed."	[]	57
103	"

Inside, plastic bags and bottles move through empty boulevards."	[]	57
104	"

"	[]	57
105	In parks designed to allow families to play, benches have been toppled and the paths are barred by guards.	[]	57
106	"

"	[]	57
107	Three miles north, in the Faliron complex - for the tae kwon do competitions (it's a martial art, in case you were wondering) and beach volleyball - gipsy squatter camps have sprung up.	"[{""text"": ""Three miles"", ""type"": ""QUANTITY"", ""start"": 0, ""end"": 11, ""cms"": null}, {""text"": ""Faliron"", ""type"": ""FAC"", ""start"": 26, ""end"": 33, ""cms"": null}]"	57
108	"

Tents have been erected on grounds that, before the Olympics, were playing fields for children."	"[{""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 54, ""end"": 62, ""cms"": null}]"	57
109	"



And rubbish is everywhere."	[]	57
110	Fountains are broken and rusting.	[]	57
111	Pools of water form from broken drains.	[]	57
112	"

"	[]	57
113	At the Olympic Village, six miles from the city centre - where 72,000 invited dignitaries, including Tony and Cherie Blair and former U.S. President George Bush Snr and his wife Barbara, watched the spectacular opening ceremony - the scale of the extravagance is also a sight to behold.	"[{""text"": ""the Olympic Village"", ""type"": ""FAC"", ""start"": 3, ""end"": 22, ""cms"": null}, {""text"": ""six miles"", ""type"": ""QUANTITY"", ""start"": 24, ""end"": 33, ""cms"": null}, {""text"": ""72,000"", ""type"": ""CARDINAL"", ""start"": 63, ""end"": 69, ""cms"": null}, {""text"": ""Tony"", ""type"": ""PERSON"", ""start"": 101, ""end"": 105, ""cms"": null}, {""text"": ""Cherie Blair"", ""type"": ""PERSON"", ""start"": 110, ""end"": 122, ""cms"": null}, {""text"": ""U.S."", ""type"": ""GPE"", ""start"": 134, ""end"": 138, ""cms"": null}, {""text"": ""George Bush Snr"", ""type"": ""PERSON"", ""start"": 149, ""end"": 164, ""cms"": null}, {""text"": ""Barbara"", ""type"": ""PERSON"", ""start"": 178, ""end"": 185, ""cms"": null}]"	57
114	"

While concerts and football matches have been held here since 2004, the magnificent new stadium is in a sorry state."	"[{""text"": ""2004"", ""type"": ""DATE"", ""start"": 64, ""end"": 68, ""cms"": null}]"	57
115	"

Apart from a group of security guards, just a few athletes were training inside the pool."	[]	57
116	"

Nothing else moved, except rubbish in the wind."	[]	57
117	"

A 20,000-seat tennis stadium lies empty."	"[{""text"": ""20,000"", ""type"": ""CARDINAL"", ""start"": 4, ""end"": 10, ""cms"": null}]"	57
118	So does the cycling stadium.	[]	57
119	And the Olympic diving area.	[]	57
120	And the hockey facilities.	[]	57
121	The list goes on.	[]	57
122	"

These empty stadiums represent a nation so caught up in the desire to prove it was 'modern' that the true cost of such Olympian vanity was overlooked."	"[{""text"": ""Olympian"", ""type"": ""NORP"", ""start"": 121, ""end"": 129, ""cms"": null}]"	57
123	"

Indeed, many of these now decrepit facilities were completed just days before the opening ceremony."	"[{""text"": ""days"", ""type"": ""DATE"", ""start"": 68, ""end"": 72, ""cms"": null}]"	57
124	"

It seems the thirst of Greek politicians for glory by association - backed by billions of pounds in European funding (your money and mine) - over-rode antiquated notions, such as whether this was value for money and how it would improve the lives of Greeks in the future."	"[{""text"": ""Greek"", ""type"": ""NORP"", ""start"": 25, ""end"": 30, ""cms"": null}, {""text"": ""billions of pounds"", ""type"": ""MONEY"", ""start"": 80, ""end"": 98, ""cms"": null}, {""text"": ""European"", ""type"": ""NORP"", ""start"": 102, ""end"": 110, ""cms"": null}, {""text"": ""Greeks"", ""type"": ""NORP"", ""start"": 252, ""end"": 258, ""cms"": null}]"	57
125	"

Cash was spent with abandon, and the price is still being paid."	[]	57
126	"

"	[]	57
127	While the country's budget has plunged into the red by more than six per cent - some say the borrowing costs of the event have reached £35 billion - the Olympic legacy dominates political life in Athens.	"[{""text"": ""more than six per cent"", ""type"": ""PERCENT"", ""start"": 55, ""end"": 77, ""cms"": null}, {""text"": ""\u00a335 billion"", ""type"": ""MONEY"", ""start"": 135, ""end"": 146, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 153, ""end"": 160, ""cms"": null}, {""text"": ""Athens"", ""type"": ""GPE"", ""start"": 196, ""end"": 202, ""cms"": null}]"	57
128	"

'We didn't find a plan for the post-Olympics development of the venues,' says Fani Palli-Petralia, a New Democracy politician."	"[{""text"": ""Fani Palli-Petralia"", ""type"": ""PERSON"", ""start"": 80, ""end"": 99, ""cms"": null}, {""text"": ""New Democracy"", ""type"": ""ORG"", ""start"": 103, ""end"": 116, ""cms"": null}]"	57
129	"

'When a city gets the Games, it should make a business plan for big changes and then decide what the country needs for the day after the Olympics."	"[{""text"": ""Games"", ""type"": ""EVENT"", ""start"": 24, ""end"": 29, ""cms"": null}, {""text"": ""the day"", ""type"": ""DATE"", ""start"": 121, ""end"": 128, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 139, ""end"": 147, ""cms"": null}]"	57
130	This did not happen.'	[]	57
131	"

When Britain's 2012 bid was chosen - with London's bid beating Paris - commentators and politicians rightly applauded the fact that Britain would stage these ancient Games for the third time in the country's history."	"[{""text"": ""Britain"", ""type"": ""GPE"", ""start"": 7, ""end"": 14, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 17, ""end"": 21, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 44, ""end"": 50, ""cms"": null}, {""text"": ""Paris"", ""type"": ""GPE"", ""start"": 65, ""end"": 70, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 134, ""end"": 141, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 168, ""end"": 173, ""cms"": null}, {""text"": ""third"", ""type"": ""ORDINAL"", ""start"": 182, ""end"": 187, ""cms"": null}]"	57
132	"

It was a chance to show Britain at its best, building what politicians pledged would be a legacy lasting many years after the final race."	"[{""text"": ""Britain"", ""type"": ""GPE"", ""start"": 26, ""end"": 33, ""cms"": null}, {""text"": ""many years"", ""type"": ""DATE"", ""start"": 107, ""end"": 117, ""cms"": null}]"	57
133	"

"	[]	57
134	Amid predictions that London would be transformed, Tony Blair hailed the victory as a 'momentous' day for the capital.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 22, ""end"": 28, ""cms"": null}, {""text"": ""Tony Blair"", ""type"": ""PERSON"", ""start"": 51, ""end"": 61, ""cms"": null}, {""text"": ""a 'momentous' day"", ""type"": ""DATE"", ""start"": 84, ""end"": 101, ""cms"": null}]"	57
